"","Time","Susceptible","Exposed","Infected","Removed","Event"
"18660",7.91832467754763,2558,579,2609,4354,1
"18661",7.91872457298798,2558,579,2608,4355,3
"18662",7.91873836218498,2558,579,2607,4356,3
"18663",7.91923468640993,2557,580,2607,4356,1
"18664",7.91950562299061,2557,580,2606,4357,3
"18665",7.9195056923474,2556,581,2606,4357,1
"18666",7.91955655839427,2555,582,2606,4357,1
"18667",7.91973953596015,2555,581,2607,4357,2
"18668",7.91981330751226,2555,580,2608,4357,2
"18669",7.91994604553991,2555,580,2607,4358,3
"18670",7.92032268438389,2555,579,2608,4358,2
"18671",7.92072262050008,2555,579,2607,4359,3
"18672",7.92075293088688,2555,578,2608,4359,2
"18673",7.92117476939068,2555,577,2609,4359,2
"18674",7.92132514096691,2555,576,2610,4359,2
"18675",7.92178848544659,2555,576,2609,4360,3
"18676",7.92237871184356,2555,575,2610,4360,2
"18677",7.9224390739543,2554,576,2610,4360,1
"18678",7.92458565055055,2554,576,2609,4361,3
"18679",7.92481918246355,2553,577,2609,4361,1
"18680",7.9252000406906,2553,577,2608,4362,3
"18681",7.9256661947602,2553,576,2609,4362,2
"18682",7.9257275688698,2552,577,2609,4362,1
"18683",7.92587203383254,2552,577,2608,4363,3
"18684",7.92612307805241,2552,577,2607,4364,3
"18685",7.92635249436032,2552,577,2606,4365,3
"18686",7.9268871615539,2552,576,2607,4365,2
"18687",7.9269620118753,2552,575,2608,4365,2
"18688",7.9270654550529,2552,574,2609,4365,2
"18689",7.92719663050821,2552,574,2608,4366,3
"18690",7.92719849728585,2551,575,2608,4366,1
"18691",7.92794741467483,2550,576,2608,4366,1
"18692",7.92816080339745,2550,576,2607,4367,3
"18693",7.92849749060995,2550,575,2608,4367,2
"18694",7.92858552403841,2550,575,2607,4368,3
"18695",7.92902978828155,2550,575,2606,4369,3
"18696",7.92904185023873,2549,576,2606,4369,1
"18697",7.92905808678374,2549,576,2605,4370,3
"18698",7.92933025189083,2548,577,2605,4370,1
"18699",7.9296261432855,2548,576,2606,4370,2
"18700",7.92969978508416,2548,575,2607,4370,2
"18701",7.92970078197995,2548,574,2608,4370,2
"18702",7.92975320944987,2547,575,2608,4370,1
"18703",7.9297989657562,2547,575,2607,4371,3
"18704",7.92980463050327,2547,575,2606,4372,3
"18705",7.92993637080231,2547,574,2607,4372,2
"18706",7.93007082492029,2546,575,2607,4372,1
"18707",7.93020676951339,2546,574,2608,4372,2
"18708",7.93127195119364,2546,573,2609,4372,2
"18709",7.93143776803283,2546,572,2610,4372,2
"18710",7.93177362950162,2546,571,2611,4372,2
"18711",7.93208040620843,2546,571,2610,4373,3
"18712",7.93215072463281,2545,572,2610,4373,1
"18713",7.93216231319593,2545,572,2609,4374,3
"18714",7.93249510416111,2545,571,2610,4374,2
"18715",7.9330672463528,2545,570,2611,4374,2
"18716",7.9337004162882,2545,569,2612,4374,2
"18717",7.93373717959995,2544,570,2612,4374,1
"18718",7.93419424401403,2544,570,2611,4375,3
"18719",7.93433201389284,2544,570,2610,4376,3
"18720",7.93438665246733,2544,570,2609,4377,3
"18721",7.93463699104557,2544,569,2610,4377,2
"18722",7.93517282436581,2544,569,2609,4378,3
"18723",7.93596933944484,2544,569,2608,4379,3
"18724",7.93598134683787,2544,568,2609,4379,2
"18725",7.93606890996346,2544,567,2610,4379,2
"18726",7.93607954229661,2543,568,2610,4379,1
"18727",7.93634506176641,2543,568,2609,4380,3
"18728",7.93694353756479,2543,567,2610,4380,2
"18729",7.937020250344,2542,568,2610,4380,1
"18730",7.9381023315948,2542,567,2611,4380,2
"18731",7.93817327501327,2542,566,2612,4380,2
"18732",7.94025902598035,2542,565,2613,4380,2
"18733",7.94033469790177,2542,565,2612,4381,3
"18734",7.94044166523582,2541,566,2612,4381,1
"18735",7.94051148840167,2540,567,2612,4381,1
"18736",7.94059536382546,2539,568,2612,4381,1
"18737",7.9410368855899,2538,569,2612,4381,1
"18738",7.94136887379785,2537,570,2612,4381,1
"18739",7.94238604348581,2536,571,2612,4381,1
"18740",7.94249518584453,2536,570,2613,4381,2
"18741",7.94251303508931,2536,569,2614,4381,2
"18742",7.94253467795682,2536,568,2615,4381,2
"18743",7.94261048521396,2536,567,2616,4381,2
"18744",7.94286045160336,2536,567,2615,4382,3
"18745",7.9429650876011,2536,567,2614,4383,3
"18746",7.94311942506661,2536,566,2615,4383,2
"18747",7.9436452485422,2535,567,2615,4383,1
"18748",7.94365914501393,2535,567,2614,4384,3
"18749",7.94379312971339,2535,566,2615,4384,2
"18750",7.94508886276025,2535,566,2614,4385,3
"18751",7.94551026672928,2535,566,2613,4386,3
"18752",7.94577796283721,2535,565,2614,4386,2
"18753",7.94648417553766,2535,564,2615,4386,2
"18754",7.94659939257388,2534,565,2615,4386,1
"18755",7.94669063240701,2534,564,2616,4386,2
"18756",7.94677466188341,2533,565,2616,4386,1
"18757",7.94684942202028,2532,566,2616,4386,1
"18758",7.94762494555401,2531,567,2616,4386,1
"18759",7.94782714414101,2530,568,2616,4386,1
"18760",7.94804414371901,2530,568,2615,4387,3
"18761",7.94836447388327,2530,567,2616,4387,2
"18762",7.94863614176534,2530,567,2615,4388,3
"18763",7.94871233587229,2530,566,2616,4388,2
"18764",7.94889568747988,2530,566,2615,4389,3
"18765",7.95001156827366,2530,566,2614,4390,3
"18766",7.95019494124768,2530,566,2613,4391,3
"18767",7.95049233009864,2530,565,2614,4391,2
"18768",7.95058425768352,2530,564,2615,4391,2
"18769",7.95103946425,2529,565,2615,4391,1
"18770",7.95112463451152,2528,566,2615,4391,1
"18771",7.95133252393549,2528,566,2614,4392,3
"18772",7.95144998892712,2528,565,2615,4392,2
"18773",7.95186739574472,2528,564,2616,4392,2
"18774",7.95218406004373,2527,565,2616,4392,1
"18775",7.95244547687584,2527,565,2615,4393,3
"18776",7.95313445543771,2527,565,2614,4394,3
"18777",7.9531822404211,2527,564,2615,4394,2
"18778",7.95341021996369,2527,563,2616,4394,2
"18779",7.95372490239998,2526,564,2616,4394,1
"18780",7.95395679536122,2526,564,2615,4395,3
"18781",7.95404999265184,2525,565,2615,4395,1
"18782",7.95430566125046,2525,565,2614,4396,3
"18783",7.95524046442428,2524,566,2614,4396,1
"18784",7.95530840748675,2523,567,2614,4396,1
"18785",7.9554928293018,2523,567,2613,4397,3
"18786",7.95569255601881,2523,566,2614,4397,2
"18787",7.9558582628872,2523,566,2613,4398,3
"18788",7.95638659129775,2523,565,2614,4398,2
"18789",7.95668846669566,2523,565,2613,4399,3
"18790",7.95702190236521,2523,565,2612,4400,3
"18791",7.9574806792205,2523,565,2611,4401,3
"18792",7.9580006212647,2522,566,2611,4401,1
"18793",7.95809157510014,2522,565,2612,4401,2
"18794",7.9583386466034,2522,564,2613,4401,2
"18795",7.95842543519045,2522,564,2612,4402,3
"18796",7.9584899367682,2522,564,2611,4403,3
"18797",7.95956939914157,2522,563,2612,4403,2
"18798",7.95962615493341,2521,564,2612,4403,1
"18799",7.95969092826697,2521,564,2611,4404,3
"18800",7.95974640635273,2521,563,2612,4404,2
"18801",7.95985355472161,2521,562,2613,4404,2
"18802",7.96038352026794,2520,563,2613,4404,1
"18803",7.9604744505868,2520,563,2612,4405,3
"18804",7.96099729670565,2520,563,2611,4406,3
"18805",7.96184302507505,2520,562,2612,4406,2
"18806",7.9621445147107,2520,561,2613,4406,2
"18807",7.96260447716267,2519,562,2613,4406,1
"18808",7.9635395068657,2518,563,2613,4406,1
"18809",7.96359146311243,2518,563,2612,4407,3
"18810",7.96398527504169,2518,563,2611,4408,3
"18811",7.96424717937839,2518,563,2610,4409,3
"18812",7.96560872452914,2517,564,2610,4409,1
"18813",7.96667076183118,2517,564,2609,4410,3
"18814",7.96669048816057,2516,565,2609,4410,1
"18815",7.96681002580487,2515,566,2609,4410,1
"18816",7.9669166718185,2514,567,2609,4410,1
"18817",7.96761488027946,2514,566,2610,4410,2
"18818",7.96762712589432,2513,567,2610,4410,1
"18819",7.96799824884814,2513,566,2611,4410,2
"18820",7.96804977860035,2512,567,2611,4410,1
"18821",7.96820054549907,2511,568,2611,4410,1
"18822",7.96822952220777,2510,569,2611,4410,1
"18823",7.96835897866062,2510,568,2612,4410,2
"18824",7.96836592364512,2510,568,2611,4411,3
"18825",7.96843928195485,2510,568,2610,4412,3
"18826",7.968618069636,2509,569,2610,4412,1
"18827",7.96908249501466,2509,569,2609,4413,3
"18828",7.9691297022412,2509,569,2608,4414,3
"18829",7.96914358277576,2509,569,2607,4415,3
